epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,844.079,1.44457,2.53376,1.46681,0.66763,0.28421,0.45341,0.21847,1.49222,3.2918,1.49328,0.000656085,0.000656085,0.000656085
2,1648.62,1.53423,2.06662,1.50202,0.44687,0.44211,0.41987,0.20449,1.63297,2.86577,1.73256,0.00129001,0.00129001,0.00129001
3,2380.61,1.57249,1.96594,1.54775,0.48695,0.49474,0.44644,0.21092,1.61111,3.29114,1.80509,0.00189094,0.00189094,0.00189094
4,3209.15,1.58132,1.78426,1.53852,0.53417,0.54842,0.52946,0.25676,1.62674,2.32929,1.61488,0.0018515,0.0018515,0.0018515
5,4006.6,1.52057,1.6752,1.51531,0.45128,0.59263,0.48168,0.25386,1.50989,2.37476,1.60075,0.001802,0.001802,0.001802
6,4807.92,1.48886,1.55186,1.47593,0.6315,0.61474,0.60695,0.35236,1.35855,1.88577,1.49489,0.0017525,0.0017525,0.0017525
7,5855.57,1.4659,1.48564,1.48133,0.69509,0.56947,0.62418,0.38476,1.41532,1.74897,1.51823,0.001703,0.001703,0.001703
8,6578.7,1.47356,1.41607,1.45616,0.51759,0.61101,0.54427,0.30405,1.38429,2.24174,1.4927,0.0016535,0.0016535,0.0016535
9,7485.36,1.39765,1.36601,1.4365,0.65395,0.62062,0.64847,0.40943,1.30973,1.52502,1.35092,0.001604,0.001604,0.001604
10,8440.55,1.35242,1.3364,1.42059,0.68353,0.73436,0.73306,0.43746,1.2517,1.41992,1.34573,0.0015545,0.0015545,0.0015545
11,9283.82,1.33519,1.28737,1.38968,0.73882,0.67591,0.75736,0.45499,1.35288,1.39006,1.41261,0.001505,0.001505,0.001505
12,10082.5,1.28509,1.1843,1.33855,0.74813,0.68473,0.74517,0.44796,1.36071,1.23934,1.44245,0.0014555,0.0014555,0.0014555
13,10831.9,1.30777,1.22506,1.37745,0.81704,0.7333,0.81307,0.5302,1.16438,1.16693,1.31779,0.001406,0.001406,0.001406
14,12224.6,1.28536,1.17453,1.36207,0.87367,0.74979,0.8638,0.57544,1.17319,0.99818,1.24897,0.0013565,0.0013565,0.0013565
15,13256.9,1.26453,1.16273,1.33344,0.81785,0.74675,0.82371,0.53564,1.25419,1.14027,1.37799,0.001307,0.001307,0.001307
16,15309.5,1.26579,1.16998,1.34964,0.70889,0.74421,0.76584,0.50828,1.13233,1.25501,1.27022,0.0012575,0.0012575,0.0012575
17,16395.1,1.2032,1.09872,1.29767,0.75012,0.70465,0.7851,0.51797,1.20655,1.20645,1.32021,0.001208,0.001208,0.001208
18,17489.1,1.19255,1.06292,1.2851,0.80877,0.70341,0.81134,0.554,1.11189,1.29831,1.27155,0.0011585,0.0011585,0.0011585
19,18471.6,1.2206,1.09291,1.29643,0.8128,0.78,0.84588,0.55988,1.14467,0.98098,1.25233,0.001109,0.001109,0.001109
20,19594.8,1.18206,1.03171,1.28794,0.6936,0.77684,0.74236,0.47996,1.2144,1.19994,1.33691,0.0010595,0.0010595,0.0010595
21,20709.4,1.20366,1.05949,1.28719,0.81922,0.73474,0.82883,0.53741,1.23377,1.10677,1.32395,0.00101,0.00101,0.00101
22,21824.7,1.15838,1.02637,1.2667,0.86257,0.72,0.81336,0.53162,1.21512,1.13571,1.30448,0.0009605,0.0009605,0.0009605
23,22940,1.13764,0.98735,1.2472,0.83953,0.73368,0.82221,0.5648,1.10385,1.0677,1.23999,0.000911,0.000911,0.000911
24,24061.9,1.13011,0.98397,1.24889,0.75024,0.75474,0.81818,0.56189,1.08222,1.14756,1.22386,0.0008615,0.0008615,0.0008615
25,25182.4,1.13367,0.97938,1.25476,0.87031,0.77684,0.85932,0.59764,1.04661,1.01379,1.20451,0.000812,0.000812,0.000812
