epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.24,1.47632,3.27933,1.25767,0.0036,0.96907,0.53675,0.28139,1.45876,3.68659,1.1715,0.00042,0.00042,0.00042
2,591.635,1.49283,2.22954,1.20365,1,0.12764,0.34033,0.17972,1.48251,3.75259,1.27765,0.000838715,0.000838715,0.000838715
3,856.926,1.49344,2.04716,1.2906,0.47831,0.06186,0.07967,0.0428,1.7424,3.99127,1.51176,0.00123565,0.00123565,0.00123565
4,1098.83,1.52475,1.89259,1.27028,0.15971,0.21649,0.11274,0.06106,1.71064,3.63144,1.49493,0.00161081,0.00161081,0.00161081
5,1332.44,1.49587,1.73992,1.29088,0.53904,0.42268,0.42301,0.22164,1.69774,3.2698,1.4956,0.001802,0.001802,0.001802
6,1560.87,1.54963,1.62269,1.28154,0.65461,0.47423,0.57152,0.29858,1.66762,3.01174,1.44963,0.0017525,0.0017525,0.0017525
7,1787.05,1.45008,1.54952,1.22641,0.63796,0.53608,0.51869,0.24596,1.70264,2.93812,1.50541,0.001703,0.001703,0.001703
8,2007.72,1.5257,1.53392,1.30262,0.64659,0.75447,0.7216,0.37021,1.62382,2.77063,1.37916,0.0016535,0.0016535,0.0016535
9,2224.87,1.45609,1.34133,1.26404,0.82193,0.75258,0.80382,0.4185,1.6435,1.936,1.38185,0.001604,0.001604,0.001604
10,2444.88,1.42309,1.27589,1.23185,0.70142,0.73196,0.73511,0.39356,1.62602,1.9566,1.34203,0.0015545,0.0015545,0.0015545
11,2661.74,1.46027,1.27308,1.24412,0.8241,0.68041,0.77695,0.39554,1.56409,1.60842,1.35403,0.001505,0.001505,0.001505
12,2881.89,1.38729,1.14291,1.22827,0.83995,0.64923,0.77248,0.35492,1.59622,1.99874,1.41797,0.0014555,0.0014555,0.0014555
13,3109.93,1.40959,1.1765,1.23003,0.8308,0.83505,0.86754,0.46113,1.61677,1.30783,1.3709,0.001406,0.001406,0.001406
14,3373.09,1.37075,1.11821,1.23095,0.82529,0.73047,0.82881,0.46177,1.55753,1.34716,1.3474,0.0013565,0.0013565,0.0013565
15,3616.35,1.34421,1.08868,1.17768,0.85533,0.80412,0.84233,0.46778,1.50077,1.25773,1.33504,0.001307,0.001307,0.001307
16,3918.81,1.36235,1.05752,1.19393,0.89195,0.82474,0.85342,0.45394,1.56444,1.23417,1.31364,0.0012575,0.0012575,0.0012575
17,4177.53,1.33803,0.98718,1.16674,0.89722,0.80412,0.87805,0.48406,1.55035,1.16789,1.31588,0.001208,0.001208,0.001208
18,4447.08,1.36611,0.99142,1.1796,0.9474,0.7428,0.87011,0.46787,1.55873,1.20583,1.31001,0.0011585,0.0011585,0.0011585
19,4692.98,1.35309,0.98607,1.17698,0.93904,0.82474,0.91285,0.50508,1.50958,1.13079,1.30124,0.001109,0.001109,0.001109
20,4967.56,1.28779,0.94189,1.16136,0.8279,0.86598,0.89192,0.48829,1.51962,1.07745,1.26855,0.0010595,0.0010595,0.0010595
21,5241.92,1.26289,0.89269,1.1277,0.91683,0.7955,0.86728,0.48361,1.56702,1.15689,1.29042,0.00101,0.00101,0.00101
22,5511.01,1.23705,0.87317,1.13089,0.89434,0.87268,0.9092,0.5031,1.58596,1.00454,1.32677,0.0009605,0.0009605,0.0009605
23,5774.89,1.2525,0.87916,1.13015,0.95222,0.82474,0.90745,0.49939,1.59686,0.97031,1.34177,0.000911,0.000911,0.000911
24,6009.92,1.28974,0.86058,1.14409,0.88199,0.84758,0.89355,0.47324,1.59111,0.97217,1.29026,0.0008615,0.0008615,0.0008615
25,6257.64,1.29,0.87346,1.13977,0.88981,0.83253,0.89264,0.4912,1.57603,0.99942,1.28352,0.000812,0.000812,0.000812
26,6538.6,1.22684,0.80937,1.12682,0.9394,0.7991,0.88205,0.48955,1.53655,1.01806,1.32635,0.0007625,0.0007625,0.0007625
27,6813.33,1.23593,0.79761,1.13646,0.93809,0.84536,0.91464,0.52896,1.49532,0.94262,1.28263,0.000713,0.000713,0.000713
28,7015.76,1.26231,0.78388,1.14139,0.89551,0.82474,0.90095,0.49321,1.57621,0.95694,1.30158,0.0006635,0.0006635,0.0006635
29,7250.4,1.18938,0.76576,1.11456,0.94351,0.84536,0.92806,0.50947,1.55971,0.88998,1.30644,0.000614,0.000614,0.000614
30,7495.19,1.18903,0.74883,1.09699,0.96753,0.82474,0.91633,0.49253,1.56911,0.89801,1.30712,0.0005645,0.0005645,0.0005645
31,7725.92,1.1931,0.77244,1.11464,0.9106,0.84004,0.8929,0.48684,1.55508,0.9652,1.28058,0.000515,0.000515,0.000515
32,7960.21,1.17228,0.72554,1.08077,0.97603,0.84536,0.91422,0.52111,1.46848,0.87765,1.27508,0.0004655,0.0004655,0.0004655
33,8188.15,1.16028,0.70653,1.08321,0.94427,0.87338,0.91649,0.51435,1.50913,0.86665,1.26616,0.000416,0.000416,0.000416
34,8419.74,1.10333,0.67665,1.08051,0.98567,0.86598,0.92945,0.51865,1.51244,0.84974,1.29134,0.0003665,0.0003665,0.0003665
35,8648.31,1.11293,0.69907,1.07417,0.92599,0.89691,0.92784,0.51486,1.53308,0.84354,1.3027,0.000317,0.000317,0.000317
36,8878.02,1.07604,0.69021,1.06239,0.95946,0.86598,0.9353,0.50905,1.53897,0.84925,1.27707,0.0002675,0.0002675,0.0002675
37,9106.05,1.08811,0.6584,1.06529,0.96282,0.86598,0.93363,0.51456,1.53476,0.84954,1.27381,0.000218,0.000218,0.000218
38,9335.65,1.07831,0.6489,1.05407,0.94306,0.87629,0.92961,0.50146,1.53795,0.84749,1.28348,0.0001685,0.0001685,0.0001685
39,9564.59,1.07399,0.64196,1.07286,0.96077,0.86598,0.93335,0.49952,1.54514,0.82646,1.29103,0.000119,0.000119,0.000119
40,9793.54,1.05057,0.63176,1.05114,0.93376,0.87204,0.92848,0.50011,1.54681,0.80478,1.29511,6.95e-05,6.95e-05,6.95e-05
