epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1330.77,1.55114,2.15488,1.41477,0.38214,0.33429,0.29702,0.1528,1.65367,2.48864,1.51343,0.000659933,0.000659933,0.000659933
2,2465.08,1.60296,1.75132,1.4093,0.52483,0.43329,0.43334,0.21738,1.65233,2.67718,1.52329,0.00129377,0.00129377,0.00129377
3,3602.06,1.6057,1.60334,1.40057,0.57102,0.45911,0.48877,0.24352,1.69643,2.42919,1.55297,0.0018946,0.0018946,0.0018946
4,4737.91,1.59918,1.55799,1.41746,0.57288,0.47776,0.49577,0.25208,1.69984,1.79079,1.5074,0.0018515,0.0018515,0.0018515
5,5857.53,1.56258,1.48381,1.39059,0.52325,0.48184,0.47408,0.25915,1.6629,1.74665,1.54412,0.001802,0.001802,0.001802
6,6971.28,1.52243,1.39531,1.36022,0.65188,0.47633,0.53731,0.29907,1.6202,1.85973,1.49418,0.0017525,0.0017525,0.0017525
7,7989.02,1.50897,1.37397,1.35234,0.60339,0.55882,0.58299,0.3352,1.50503,1.52058,1.4038,0.001703,0.001703,0.001703
8,9172.67,1.47642,1.3304,1.33085,0.68376,0.56887,0.63839,0.35235,1.53699,1.44854,1.39153,0.0016535,0.0016535,0.0016535
9,10308.4,1.46574,1.3092,1.33167,0.70229,0.57536,0.64595,0.36306,1.48424,1.44687,1.38612,0.001604,0.001604,0.001604
10,11369.8,1.45108,1.3021,1.332,0.69761,0.59411,0.66098,0.38326,1.41647,1.2955,1.33926,0.0015545,0.0015545,0.0015545
11,12456.5,1.43851,1.26336,1.30783,0.66074,0.59469,0.6362,0.35873,1.48109,1.3388,1.35073,0.001505,0.001505,0.001505
12,16126.8,1.39351,1.21732,1.28874,0.7097,0.61732,0.69436,0.41864,1.37645,1.22482,1.2979,0.0014555,0.0014555,0.0014555
13,17145.9,1.38573,1.21156,1.28402,0.68466,0.57604,0.65139,0.38614,1.40487,1.32519,1.31547,0.001406,0.001406,0.001406
14,18479.4,1.34973,1.16311,1.2716,0.71519,0.61693,0.69832,0.42081,1.36974,1.19141,1.30853,0.0013565,0.0013565,0.0013565
